name,rgc_mic,center_type,designation_year,county,information,
Auburn,Regional Growth Center,Urban,2003,King County,"The Auburn center is a historic downtown with many older buildings; developments in the center include the transit center, City Hall Annex (One Main Professional Plaza), and Auburn Medical Plaza. The center is located near both SR-167 and SR-18 and is served by Sound Transit Commuter Rail, King County Metro and Pierce Transit. ",
Bellevue Downtown,Regional Growth Center,Metro,1995,King County,"Downtown Bellevue is a large and growing district that is a nationally recognized example of a suburban activity center maturing into a dense metropolitan growth center. Significant development in the downtown area began with the opening of the Eastside’s first mall, known today as Bellevue Square.  The downtown center features significant office, retail, and residential development, and new connections to Link Light Rail provide additional development opportunities. ",
Bothell Canyon Park,Regional Growth Center,Urban,1995,Snohomish County,"The Canyon Park regional growth center is located in the Snohomish County area of Bothell, straddling I-405. With a well-developed office park, the area is planned for new commercial and residential development.  The center will be served by both Swift and Stride BRT service. ",
Bremerton,Regional Growth Center,Metro,1995,Kitsap County,The Bremerton regional growth center is the central business district in the historic core of the City of Bremerton. It has served as the site of the most concentrated area of jobs in Kitsap County for decades and includes the Puget Sound Naval Shipyard. The downtown features recent and planned residential development and waterfront amenities. ,
Burien,Regional Growth Center,Urban,2005,King County,"Downtown Burien offers a mix of uses, including multifamily residential, office, retail, restaurants and government and human services. The Burien regional growth center is generally centered around the mixed-use Burien Town Square development. The existing street grid is in the form of a traditional downtown with small blocks, alleys and a well-established sidewalk system. ",
Everett,Regional Growth Center,Metro,1995,Snohomish County,"The Everett regional growth center has several individual activity centers, with a variety of government, office, retail, professional services, and residential uses. Primary attractions in the center include the Angel of the Winds Arena, federal, county, and city offices, a hospital, library, performing arts theater, art galleries, specialty retail stores, bars and restaurants.",
Federal Way,Regional Growth Center,Urban,1995,King County,"Federal Way is among the smallest regional growth centers. The Commons at Federal Way and other commercial uses are the most prominent development in the area, but the city is planning for additional residential development in the center. The center includes the Federal Way Transit Center, and Steel Lake Park to the northeast and Celebration Park to the southwest are close to the center.",
Issaquah,Regional Growth Center,Urban,2015,King County,"The Issaquah regional growth center is located in the northeast part of the city, bisected by I-90 and SR-900. It is the economic hub of the city with many employers, including the Costco headquarters. The center includes the Issaquah Transit Center that has current bus service provided by King County Metro and Sound Transit. ",
Kent,Regional Growth Center,Urban,1995,King County,"The Kent regional growth center encompasses historic downtown Kent and is mostly made up of commercial and retail uses.  Community shopping, housing, recreational, medical and civic functions are located in the center, along with some light industry. Other attractions include extensive public art, the Asian Sister City pavilion, and several churches. Kent Station, the King County Regional Justice Center, and ShoWare Center have brought new life to the center, and have acted as a catalyst for redevelopment. ",
Kirkland Totem Lake,Regional Growth Center,Urban,2003,King County,"The Totem Lake center in Kirkland is characterized by office, retail, and institutional uses, as well as moderate and high-density residential. Totem Lake is home to Evergreen Hospital, a regional transit center and the Village at Totem Lake, the major redevelopment of the former Totem Lake Mall. The center offers additional redevelopment opportunities and access to the regional transportation system via Stride bus rapid transit being planned along I-405. The center’s natural features include Totem Lake and its wetland trail.",
Lakewood,Regional Growth Center,Urban,1995,Pierce County,"The city’s vision for Lakewood’s regional growth center is a dense mix of business, commercial, and cultural activity targeted for employment and residential growth, served by high-capacity transit and major public amenities. The center comprises the entire central business district CBD and the majority of the district surrounding Sound Transit’s Lakewood commuter rail station. ",
