year,grouping,geography,geography_type,estimate,share
2005,Construction,Ballard-Interbay,MIC (2022 RTP),1754,0.113278223
2005,Manufacturing,Ballard-Interbay,MIC (2022 RTP),2857,0.184513046
2005,"Transportation, Distribution & Logistics (TDL)",Ballard-Interbay,MIC (2022 RTP),1046,0.067553604
2005,Warehousing & Wholesale,Ballard-Interbay,MIC (2022 RTP),1160,0.074916042
2005,Other Industrial,Ballard-Interbay,MIC (2022 RTP),697,0.045014208
2005,Industrial,Ballard-Interbay,MIC (2022 RTP),7515,0.485339706
2005,Non-industrial,Ballard-Interbay,MIC (2022 RTP),7969,0.514660294
2005,Total,Ballard-Interbay,MIC (2022 RTP),15484,1
2010,Construction,Ballard-Interbay,MIC (2022 RTP),892,0.062425642
2010,Manufacturing,Ballard-Interbay,MIC (2022 RTP),1753,0.122681783
2010,"Transportation, Distribution & Logistics (TDL)",Ballard-Interbay,MIC (2022 RTP),1148,0.080341521
2010,Warehousing & Wholesale,Ballard-Interbay,MIC (2022 RTP),986,0.069004129
2010,Other Industrial,Ballard-Interbay,MIC (2022 RTP),612,0.042830149
2010,Industrial,Ballard-Interbay,MIC (2022 RTP),5391,0.377283225
2010,Non-industrial,Ballard-Interbay,MIC (2022 RTP),8898,0.622716775
2010,Total,Ballard-Interbay,MIC (2022 RTP),14289,1
2015,Construction,Ballard-Interbay,MIC (2022 RTP),1014,0.057265488
2015,Manufacturing,Ballard-Interbay,MIC (2022 RTP),4351,0.245722031
2015,"Transportation, Distribution & Logistics (TDL)",Ballard-Interbay,MIC (2022 RTP),1611,0.090980968
2015,Warehousing & Wholesale,Ballard-Interbay,MIC (2022 RTP),1255,0.070875925
2015,Other Industrial,Ballard-Interbay,MIC (2022 RTP),602,0.033997854
2015,Industrial,Ballard-Interbay,MIC (2022 RTP),8834,0.498898741
2015,Non-industrial,Ballard-Interbay,MIC (2022 RTP),8873,0.501101259
2015,Total,Ballard-Interbay,MIC (2022 RTP),17707,1
2020,Construction,Ballard-Interbay,MIC (2022 RTP),1208,0.066847435
2020,Manufacturing,Ballard-Interbay,MIC (2022 RTP),2617,0.144817664
2020,"Transportation, Distribution & Logistics (TDL)",Ballard-Interbay,MIC (2022 RTP),1128,0.062420453
2020,Warehousing & Wholesale,Ballard-Interbay,MIC (2022 RTP),867,0.047977422
2020,Other Industrial,Ballard-Interbay,MIC (2022 RTP),717,0.03967683
2020,Industrial,Ballard-Interbay,MIC (2022 RTP),6536,0.361684467
2020,Non-industrial,Ballard-Interbay,MIC (2022 RTP),11535,0.638315533
2020,Total,Ballard-Interbay,MIC (2022 RTP),18071,1
2005,Construction,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),694,0.10225431
2005,Manufacturing,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),3960,0.583468395
2005,"Transportation, Distribution & Logistics (TDL)",Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),276,0.040665979
2005,Warehousing & Wholesale,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),456,0.06718727
2005,Other Industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),123,0.018122882
2005,Industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),5507,0.811404155
2005,Non-industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),1280,0.188595845
2005,Total,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),6787,1
2010,Construction,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),644,0.114958943
2010,Manufacturing,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),2674,0.477329525
2010,"Transportation, Distribution & Logistics (TDL)",Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),327,0.05837201
2010,Warehousing & Wholesale,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),531,0.094787576
2010,Other Industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),143,0.025526598
2010,Industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),4318,0.770796144
2010,Non-industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),1284,0.229203856
2010,Total,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),5602,1
2015,Construction,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),745,0.100485568
2015,Manufacturing,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),3906,0.526841111
2015,"Transportation, Distribution & Logistics (TDL)",Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),499,0.067305098
2015,Warehousing & Wholesale,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),711,0.095899649
2015,Other Industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),168,0.022659833
2015,Industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),6029,0.81319126
2015,Non-industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),1385,0.18680874
2015,Total,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),7414,1
2020,Construction,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),1198,0.14412897
2020,Manufacturing,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),3640,0.437921078
2020,"Transportation, Distribution & Logistics (TDL)",Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),610,0.073387873
2020,Warehousing & Wholesale,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),567,0.068214629
2020,Other Industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),274,0.032964389
2020,Industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),6288,0.756496631
2020,Non-industrial,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),2024,0.243503369
2020,Total,Cascade Industrial Center - Arlington/Marysville,MIC (2022 RTP),8312,1
2005,Construction,Duwamish,MIC (2022 RTP),4610,0.075401953
2005,Manufacturing,Duwamish,MIC (2022 RTP),12541,0.205122753
2005,"Transportation, Distribution & Logistics (TDL)",Duwamish,MIC (2022 RTP),9025,0.147614452
2005,Warehousing & Wholesale,Duwamish,MIC (2022 RTP),9380,0.153420893
2005,Other Industrial,Duwamish,MIC (2022 RTP),3365,0.055038519
2005,Industrial,Duwamish,MIC (2022 RTP),38919,0.636565858
2005,Non-industrial,Duwamish,MIC (2022 RTP),22220,0.363434142
2005,Total,Duwamish,MIC (2022 RTP),61139,1
2010,Construction,Duwamish,MIC (2022 RTP),5845,0.10011133
2010,Manufacturing,Duwamish,MIC (2022 RTP),11806,0.202209472
2010,"Transportation, Distribution & Logistics (TDL)",Duwamish,MIC (2022 RTP),7668,0.131335103
2010,Warehousing & Wholesale,Duwamish,MIC (2022 RTP),8007,0.137141389
2010,Other Industrial,Duwamish,MIC (2022 RTP),4672,0.080020553
2010,Industrial,Duwamish,MIC (2022 RTP),37999,0.650834975
2010,Non-industrial,Duwamish,MIC (2022 RTP),20386,0.349165025
2010,Total,Duwamish,MIC (2022 RTP),58385,1
2015,Construction,Duwamish,MIC (2022 RTP),6903,0.107357813
2015,Manufacturing,Duwamish,MIC (2022 RTP),13627,0.211931756
2015,"Transportation, Distribution & Logistics (TDL)",Duwamish,MIC (2022 RTP),9141,0.142163953
2015,Warehousing & Wholesale,Duwamish,MIC (2022 RTP),9041,0.140608719
2015,Other Industrial,Duwamish,MIC (2022 RTP),5232,0.08136985
2015,Industrial,Duwamish,MIC (2022 RTP),43944,0.683432091
2015,Non-industrial,Duwamish,MIC (2022 RTP),20355,0.316567909
2015,Total,Duwamish,MIC (2022 RTP),64299,1
2020,Construction,Duwamish,MIC (2022 RTP),9968,0.140794938
2020,Manufacturing,Duwamish,MIC (2022 RTP),13939,0.196884093
2020,"Transportation, Distribution & Logistics (TDL)",Duwamish,MIC (2022 RTP),9568,0.135145061
2020,Warehousing & Wholesale,Duwamish,MIC (2022 RTP),8241,0.116401593
2020,Other Industrial,Duwamish,MIC (2022 RTP),5020,0.070905958
2020,Industrial,Duwamish,MIC (2022 RTP),46736,0.660131642
2020,Non-industrial,Duwamish,MIC (2022 RTP),24062,0.339868358
2020,Total,Duwamish,MIC (2022 RTP),70798,1
2005,Construction,Frederickson,MIC (2022 RTP),177,0.073566085
