year,center,Const/Res,FIRE,Manufacturing,Retail,Services,WTU,Government,Public Education,Total
2010,Auburn,34,108,109,286,1919,32,202,208,2896
2010,Bellevue,504,5050,253,5372,24553,1558,1321,0,38611
2010,Bothell Canyon Park,152,697,2189,579,4310,573,189,0,8688
2010,Bremerton,S,390,S,37,1760,12,10946,0,13166
2010,Burien,80,224,106,1178,2299,179,475,0,4541
2010,Everett,298,867,357,571,6431,622,3784,231,13160
2010,Federal Way,0,165,S,1014,1852,S,0,0,3180
2010,Greater Downtown Kirkland,632,651,123,1193,3386,229,156,81,6452
2010,Issaquah,74,317,202,2006,5169,694,105,0,8566
2010,Kent,120,244,80,337,1838,15,1456,129,4220
2010,Kirkland Totem Lake,263,478,205,1682,4578,735,3260,521,11721
2010,Lakewood,24,529,8,1164,2369,21,276,0,4391
2010,Lynnwood,S,1085,S,4496,4275,250,137,0,10528
2010,Puyallup Downtown,111,144,34,135,1244,12,460,68,2207
2010,Puyallup South Hill,S,253,S,2514,2580,22,121,266,5778
2010,Redmond Downtown,100,457,39,1521,6363,116,760,78,9434
2010,Redmond-Overlake,87,477,S,596,S,265,0,0,24016
2010,Renton,288,274,S,914,S,113,376,147,13375
2010,SeaTac,S,499,S,99,3885,7313,977,0,12907
2010,Seattle Downtown,1375,18890,2493,6961,78179,4978,22571,82,135529
2010,Seattle First Hill/Capitol Hill,62,1135,322,1801,30737,204,6251,1156,41668
2010,Seattle Northgate,S,889,S,2224,7715,141,106,29,11413
2010,Seattle South Lake Union,1490,1229,464,723,14916,904,180,0,19907
2010,Seattle University Community,30,619,90,2793,4465,66,136,25394,33592
2010,Seattle Uptown,377,1148,186,546,7484,2779,1324,38,13883
2010,Silverdale,65,531,S,2909,4236,S,303,299,8372
2010,Tacoma Downtown,466,3275,606,530,21835,418,3268,1119,31517
2010,Tacoma Mall,189,296,100,3325,2058,374,1884,35,8261
2010,Tukwila,386,970,1844,5073,7005,1846,225,0,17350
2010,University Place,105,339,67,485,1762,79,258,0,3097
2010,RGC Total,7878,42230,19901,53061,283385,24582,61509,29881,522428
2011,Auburn,29,112,137,279,1887,36,291,215,2986
2011,Bellevue,445,5157,264,5568,24567,2127,1236,0,39364
2011,Bothell Canyon Park,152,717,2260,613,4471,536,216,0,8965
2011,Bremerton,S,350,0,35,1632,S,11258,0,13461
2011,Burien,83,192,60,1102,2375,229,479,0,4519
2011,Everett,214,889,381,542,6186,618,3721,254,12805
2011,Federal Way,0,165,S,1071,1829,S,0,0,3151
2011,Greater Downtown Kirkland,421,720,137,1185,3874,201,146,81,6766
2011,Issaquah,100,297,213,2025,5256,677,105,0,8673
2011,Kent,117,182,100,324,1786,17,1425,129,4080
2011,Kirkland Totem Lake,322,454,179,1660,4588,736,3210,448,11596
2011,Lakewood,34,493,8,1144,2403,14,264,0,4361
2011,Lynnwood,S,1028,S,4258,4447,272,138,185,10546
2011,Puyallup Downtown,116,156,35,188,1251,11,477,67,2301
2011,Puyallup South Hill,S,236,S,2569,2571,24,118,258,5807
2011,Redmond Downtown,98,471,34,1458,6823,128,722,78,9811
2011,Redmond-Overlake,100,370,38,657,23406,305,0,0,24875
2011,Renton,358,290,S,915,1706,S,450,144,13288
2011,SeaTac,48,502,S,S,3874,7053,963,0,12564
2011,Seattle Downtown,1201,20075,2697,7521,79965,4989,21952,88,138489
2011,Seattle First Hill/Capitol Hill,61,945,356,1771,31839,258,6316,1145,42692
2011,Seattle Northgate,94,798,139,2232,8258,147,103,29,11802
2011,Seattle South Lake Union,1606,1340,S,S,15474,807,174,0,26726
2011,Seattle University Community,90,551,95,2778,4514,120,135,25827,34109
2011,Seattle Uptown,367,1036,315,565,7904,3244,1253,38,14724
2011,Silverdale,147,530,14,3018,4170,24,295,297,8494
2011,Tacoma Downtown,304,2314,650,445,22502,326,3230,1123,30894
2011,Tacoma Mall,166,330,103,3571,2147,391,1831,36,8575
2011,Tukwila,375,552,2008,5417,6964,1864,227,0,17407
2011,University Place,101,318,63,482,1839,80,271,0,3152
2011,RGC Total,7434,41570,20254,60287,290509,25479,61005,30442,536980
2012,Auburn,30,115,145,256,1918,77,382,197,3119
2012,Bellevue,499,4803,282,5347,25426,2169,1175,0,39701
2012,Bothell Canyon Park,111,692,2377,604,4808,568,239,34,9433
2012,Bremerton,34,331,0,36,1650,11,11231,0,13293
2012,Burien,83,195,63,1192,2311,501,455,0,4799
2012,Everett,220,1009,401,544,5531,653,3502,265,12125
2012,Federal Way,0,204,S,1123,S,S,0,0,3192
2012,Greater Downtown Kirkland,522,935,128,1251,4162,191,148,69,7405
2012,Issaquah,114,245,205,2099,5600,785,90,0,9138
2012,Kent,104,169,122,372,1869,32,1251,135,4053
2012,Kirkland Totem Lake,311,440,158,1791,4681,691,3242,475,11789
2012,Lakewood,66,522,S,1217,2375,S,247,0,4457
2012,Lynnwood,S,924,S,4512,5177,358,122,201,11535
2012,Puyallup Downtown,76,154,34,182,1317,17,440,187,2409
2012,Puyallup South Hill,S,294,S,2496,2626,124,117,243,5917
2012,Redmond Downtown,72,427,32,1455,6556,111,666,73,9391
2012,Redmond-Overlake,95,357,S,584,S,235,0,0,23831
2012,Renton,306,486,S,962,1842,S,504,185,15067
2012,SeaTac,36,422,S,S,4546,6911,251,0,12306
2012,Seattle Downtown,1276,19719,2914,7398,84514,4795,21812,93,142521
2012,Seattle First Hill/Capitol Hill,65,946,311,1860,32926,221,6261,1099,43689
2012,Seattle Northgate,79,773,132,2210,8307,141,80,28,11751
2012,Seattle South Lake Union,1628,1188,S,S,16221,551,332,0,29559
